timestamp,Air Temperature (V),Relative Humidity (mA),Dew Point (°C),Rainfall,Rainfall Since 9am,Last Hours Evaporation,Wind Direction,Current Wind Speed,Peak Wind Gust,Vector Wind Speed,Vector Wind Direction,Solar Radiation
10-Apr-25 11:27:47 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10-Apr-25 11:27:47 AM AEST,nan,nan,nan,nan,nan,nan,0.00,nan,nan,nan,nan,nan
10-Apr-25 11:27:47 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10-Apr-25 11:27:47 AM AEST,nan,nan,nan,nan,nan,nan,0.00,nan,nan,nan,nan,nan
10-Apr-25 11:27:47 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10-Apr-25 11:27:47 AM AEST,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
10-Apr-25 11:27:47 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10-Apr-25 11:27:47 AM AEST,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
10-Apr-25 11:27:47 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10-Apr-25 11:27:47 AM AEST,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10-Apr-25 11:27:47 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10-Apr-25 11:27:47 AM AEST,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10-Apr-25 11:27:47 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10-Apr-25 11:27:47 AM AEST,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10-Apr-25 11:27:47 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10-Apr-25 11:27:47 AM AEST,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10-Apr-25 11:27:48 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10-Apr-25 11:27:48 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00
10-Apr-25 11:27:48 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10-Apr-25 11:27:48 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00
10-Apr-25 11:27:48 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10-Apr-25 11:27:48 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,0.00,nan,nan,nan
10-Apr-25 11:27:48 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10-Apr-25 11:27:48 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,0.00,nan,nan,nan
10-Apr-25 11:27:48 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10-Apr-25 11:27:48 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00,nan,nan
10-Apr-25 11:27:48 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10-Apr-25 11:27:48 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00,nan,nan
10-Apr-25 11:27:48 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10-Apr-25 11:27:48 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00,nan
10-Apr-25 11:27:48 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10-Apr-25 11:27:48 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00,nan
10-Apr-25 11:27:48 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10-Apr-25 11:27:48 AM AEST,nan,nan,nan,nan,nan,0.00,nan,nan,nan,nan,nan,nan
10-Apr-25 11:27:48 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10-Apr-25 11:27:48 AM AEST,nan,nan,nan,nan,nan,0.00,nan,nan,nan,nan,nan,nan
10-Apr-25 11:27:48 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10-Apr-25 11:27:48 AM AEST,nan,nan,nan,nan,nan,nan,nan,0.00,nan,nan,nan,nan
10-Apr-25 11:27:48 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10-Apr-25 11:27:48 AM AEST,nan,nan,nan,nan,nan,nan,nan,0.00,nan,nan,nan,nan
10-Apr-25 11:27:48 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10-Apr-25 11:27:48 AM AEST,nan,nan,nan,0.00,nan,nan,nan,nan,nan,nan,nan,nan
10-Apr-25 11:27:48 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10-Apr-25 11:27:48 AM AEST,nan,nan,nan,0.00,nan,nan,nan,nan,nan,nan,nan,nan
10-Apr-25 11:27:48 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10-Apr-25 11:27:48 AM AEST,nan,nan,nan,nan,0.00,nan,nan,nan,nan,nan,nan,nan
10-Apr-25 11:27:48 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10-Apr-25 11:27:48 AM AEST,nan,nan,nan,nan,0.00,nan,nan,nan,nan,nan,nan,nan
