"date","Air.Temp","RH","Dew.Point","Last.Hours.Evaporation","Wind.Direction","Current.Wind.Speed","Peak.Wind.Gust","Vector.Wind.Speed","Vector.Wind.Direction","Solar.Radiation","Rainfall"
2021-07-20 10:00:00,28.8,60.4222222222222,20.325,0.35,234.56,0.277857142857143,4.78461538461538,2.65714285714286,225.566666666667,438.671428571429,NA
2021-07-20 10:15:00,28.6,60.8909090909091,20.2888888888889,NA,264.16,0.133333333333333,3.4125,1.31333333333333,265.992857142857,437.528571428571,NA
2021-07-20 10:30:00,28.8,60.9888888888889,20.4375,NA,237.146666666667,0.367857142857143,6.31333333333333,3.27857142857143,234.2,797.93125,NA
2021-07-20 10:45:00,29.03,60.8357142857143,20.6444444444444,NA,206.133333333333,0.477857142857143,7.18333333333333,4.44,205.926666666667,744.242857142857,NA
2021-07-20 11:00:00,28.975,60.95,20.8111111111111,0.5,227.26875,0.372,5.9,3.5,226.375,637.94375,NA
2021-07-20 11:15:00,29.3444444444444,60.375,20.91,NA,237.366666666667,0.329285714285714,5.8,3.04,238.146666666667,789.406666666667,NA
2021-07-20 11:30:00,30.15,58.5,21.1,NA,263.813333333333,0.333333333333333,6.1,3.28666666666667,263.853333333333,807.107142857143,NA
2021-07-20 11:45:00,29.9833333333333,59.4230769230769,21.1666666666667,NA,234.12,0.483571428571429,8.19230769230769,4.62,233.906666666667,844.46,NA
2021-07-20 12:00:00,29.2125,60.9444444444444,21.025,NA,248.253333333333,0.5525,8.91818181818182,4.9,247.666666666667,882.633333333333,NA
2021-07-20 12:15:00,28.8833333333333,61.2166666666667,20.6363636363636,NA,228.635714285714,0.612142857142857,10.1769230769231,5.46428571428571,229.442857142857,928.835714285714,NA
2021-07-20 12:30:00,28.39,61.19,20.18,NA,164.283333333333,0.651333333333333,10.85,6.225,159.538888888889,857.60625,NA
2021-07-20 12:45:00,28.3363636363636,61.04,20.1363636363636,NA,157.9,0.684666666666667,9.68181818181818,6.76428571428571,158.133333333333,806.02,NA
2021-07-20 13:00:00,28.1916666666667,61.2625,20.025,0.61,155.788235294118,0.458125,7.45,4.32352941176471,152.952941176471,398.973333333333,NA
2021-07-20 13:15:00,27.45,61.2285714285714,19.3125,NA,203.24,0.477333333333333,7.26923076923077,4.67857142857143,203.293333333333,322.406666666667,NA
2021-07-20 13:30:00,27.575,60.3083333333333,19.1222222222222,NA,202.793333333333,0.492857142857143,7.30909090909091,4.74,201.673333333333,503.7,NA
2021-07-20 13:45:00,27.6833333333333,60.45,19.3,NA,211.853333333333,0.268235294117647,5.44,2.49333333333333,211.646666666667,306.42,NA
2021-07-20 14:00:00,28.2416666666667,60.3181818181818,19.825,0.3,235.1,0.425333333333333,6.83571428571429,3.90666666666667,235.1,655.633333333333,NA
2021-07-20 14:15:00,28.9166666666667,60.975,20.7,NA,219.2,0.355625,6.25384615384615,3.17333333333333,220.48,435.093333333333,NA
2021-07-20 14:30:00,28.32,61.1,20.16,NA,171.027272727273,0.316,5.48571428571429,3.1,171.684615384615,355.806666666667,NA
2021-07-20 14:45:00,28.4153846153846,61.2727272727273,20.2333333333333,NA,188.627272727273,0.238,4.07272727272727,2.32142857142857,191.11,314.3,NA
2021-07-20 15:00:00,28.5636363636364,61.0444444444444,20.3076923076923,0.33,191.925,0.322307692307692,5.36153846153846,3.08571428571429,192.18125,553.08,NA
2021-07-20 15:15:00,28.58,61.25,20.3416666666667,NA,151.907142857143,0.445333333333333,6.49166666666667,4.39333333333333,152.886666666667,393.6,NA
2021-07-20 15:30:00,28.4071428571429,61.2857142857143,20.1615384615385,NA,142.618181818182,0.252666666666667,4.13333333333333,2.51333333333333,141.376923076923,291.366666666667,NA
2021-07-20 15:45:00,28.8111111111111,61.13,20.4818181818182,NA,161.416666666667,0.24,4.54285714285714,2.41333333333333,150.654545454545,259.813333333333,NA
2021-07-20 16:00:00,28.6727272727273,60.9222222222222,20.425,0.26,124.986666666667,0.336428571428571,5.58181818181818,3.21428571428571,126.135714285714,347.526666666667,NA
2021-07-20 16:15:00,29.0727272727273,60.7285714285714,20.6636363636364,NA,186.84,0.27,4.5,2.54666666666667,183.0625,286.266666666667,NA
2021-07-20 16:30:00,28.2307692307692,60.36,19.9214285714286,NA,100.141666666667,0.368,6.07692307692308,3.34,107.653333333333,151.653333333333,NA
2021-07-20 16:45:00,27.7636363636364,59.9545454545455,19.3666666666667,NA,87.5066666666667,0.389333333333333,5.91111111111111,3.9875,86.8533333333333,157.266666666667,NA
2021-07-20 17:00:00,26.4384615384615,54.7533333333333,17.04,0.105,104.314285714286,0.432666666666667,7.31,4.29333333333333,103.213333333333,22.4857142857143,NA
2021-07-20 17:15:00,24.875,38.4142857142857,10.4,NA,96.2,0.424,5.69090909090909,4.375,95.4454545454545,17.0142857142857,NA
2021-07-20 17:30:00,24.1555555555556,24.88125,876.766666666667,NA,NA,0.311666666666667,3.71666666666667,3.20769230769231,94.3166666666667,12.2384615384615,NA
2021-07-20 17:45:00,23.4875,7.10666666666667,6538.11333333333,NA,94.35,0.132666666666667,1.98333333333333,1.27333333333333,87.4714285714286,6.42727272727273,NA
2021-07-20 18:00:00,23.0714285714286,4368.7,4338.33333333333,65.54,108.275,0.129333333333333,2.24444444444444,1.26875,114.157142857143,1.28571428571429,NA
2021-07-20 18:15:00,22.8,NA,NA,NA,77.4666666666667,0.1025,3.13333333333333,1.025,77.6,0.4,NA
2021-07-20 18:30:00,22.5,NA,NA,NA,53.025,0.135333333333333,2.13,1.36428571428571,43.3363636363636,NA,NA
2021-07-20 18:45:00,22.1166666666667,NA,NA,NA,53.1571428571429,0.0583333333333333,0.6,0.583333333333333,44.5416666666667,0.4,NA
2021-07-20 19:00:00,21.8,NA,NA,65.53,53.15,0.0588888888888889,1,0.588888888888889,40.275,NA,NA
2021-07-20 19:15:00,21.52,NA,NA,NA,53.1444444444444,0.0783333333333333,1.2,0.775,46.6875,NA,NA
2021-07-20 19:30:00,21.175,NA,NA,NA,53.175,0.0669230769230769,1.46666666666667,0.661538461538462,49.4142857142857,0.4,NA
2021-07-20 19:45:00,21.04,NA,NA,NA,53.15,0.119285714285714,1.85555555555556,1.22666666666667,48.4818181818182,NA,NA
2021-07-20 20:00:00,20.8833333333333,NA,NA,65.53,53.15,0.0823076923076923,1.37142857142857,0.75,48.4090909090909,0.4,NA
2021-07-20 20:15:00,20.65,NA,NA,NA,53.1454545454545,0.055,0.96,0.55,45.5307692307692,NA,NA
2021-07-20 20:30:00,20.4857142857143,NA,NA,NA,53.16,0.0478571428571429,1.5,0.46,49.9466666666667,NA,NA
2021-07-20 20:45:00,20.44,NA,NA,NA,53.15,0.0490909090909091,1.8,0.481818181818182,53.4846153846154,0.4,NA
2021-07-20 21:00:00,20.25,NA,NA,NA,NA,0.078,1.44,0.77,46.6125,0,NA
2021-07-20 21:15:00,20.075,NA,NA,NA,53.15,0.0888888888888889,1.85714285714286,0.86,47.99,0.4,NA
2021-07-20 21:30:00,20.05,NA,NA,NA,53.15,0.0690909090909091,1.45555555555556,0.681818181818182,40.125,NA,NA
2021-07-20 21:45:00,19.95,NA,NA,NA,53.1333333333333,0.083125,1.2,0.83125,45.1615384615385,0.4,NA
2021-07-20 22:00:00,19.8,NA,NA,NA,53.1555555555556,0.07,1.2,0.653846153846154,45.4615384615385,NA,NA
2021-07-20 22:15:00,19.7,NA,NA,NA,53.1571428571429,0.0622222222222222,1.6,0.622222222222222,49,NA,NA
2021-07-20 22:30:00,19.55,NA,NA,NA,53.15,0.0818181818181818,2.075,0.809090909090909,47.88,0.4,NA
2021-07-20 22:45:00,19.4,NA,NA,NA,53.15,0.047,1.2,0.46,41.7777777777778,NA,NA
2021-07-20 23:00:00,19.3333333333333,NA,NA,65.53,53.15,0.0553333333333333,1.5,0.553333333333333,49.1846153846154,0.4,NA
2021-07-20 23:15:00,19.36,NA,NA,NA,NA,0.0858333333333333,1.2,0.845454545454545,40.5125,NA,NA
2021-07-20 23:30:00,19.4,NA,NA,NA,NA,0.06,1.2,0.6,41.6888888888889,NA,NA
2021-07-20 23:45:00,19.6,NA,NA,NA,53.1333333333333,0.0641666666666667,1.2,0.641666666666667,48.8090909090909,0.266666666666667,NA
2021-07-21,19.7833333333333,NA,NA,65.53,53.15,0.072,2.21428571428571,0.72,53.625,0,NA
2021-07-21 00:15:00,19.8333333333333,NA,NA,NA,53.1666666666667,0.0608333333333333,1.33333333333333,0.6,44.3083333333333,0.4,NA
2021-07-21 00:30:00,19.65,NA,NA,NA,53.15,0.115,2.36666666666667,1.11333333333333,53.15,NA,NA
2021-07-21 00:45:00,19.45,NA,NA,NA,NA,0.053,1.05,0.636363636363636,37.48,0.4,NA
2021-07-21 01:00:00,19.3,NA,NA,NA,NA,0.12,2.18333333333333,1.2,53.47,NA,NA
2021-07-21 01:15:00,19.25,NA,NA,NA,NA,0.120769230769231,1.8,1.22142857142857,53.2454545454545,NA,NA
2021-07-21 01:30:00,19.2,NA,NA,NA,NA,0.107272727272727,1.97777777777778,1.08181818181818,45.7,0.4,NA
2021-07-21 01:45:00,19,NA,NA,NA,53.15,0.0222222222222222,1.02857142857143,0.222222222222222,35.6222222222222,NA,NA
2021-07-21 02:00:00,18.8,NA,NA,65.53,53.15,0.104166666666667,1.2,1.04166666666667,53.36,0.4,NA
2021-07-21 02:15:00,18.7428571428571,NA,NA,NA,53.1416666666667,0.0275,0.6,0.275,31.1,NA,NA
2021-07-21 02:30:00,18.5857142857143,NA,NA,NA,53.2,0.0525,1.2,0.525,40.05,NA,NA
2021-07-21 02:45:00,18.46,NA,NA,NA,53.15,0.0564285714285714,1.2,0.557142857142857,41.8428571428571,0.4,NA
2021-07-21 03:00:00,18.35,NA,NA,65.53,53.1666666666667,0.105714285714286,2.12222222222222,1.05,53.2777777777778,NA,NA
2021-07-21 03:15:00,18.35,NA,NA,NA,NA,0.0409090909090909,1.06666666666667,0.390909090909091,40.2666666666667,0.4,NA
2021-07-21 03:30:00,NA,NA,NA,NA,53.16,0.0945454545454545,1.2,0.945454545454545,48.5636363636364,NA,NA
2021-07-21 03:45:00,18.25,NA,NA,NA,53.1444444444444,0.0216666666666667,0.8,0.185714285714286,23.4,NA,NA
2021-07-21 04:00:00,18.4428571428571,NA,NA,65.53,53.15,0.005,0.6,0.05,27.65,0.4,NA
2021-07-21 04:15:00,18.45,NA,NA,NA,53.14,0.029,1.05,0.28,37.39,NA,NA
2021-07-21 04:30:00,18.46,NA,NA,NA,53.1571428571429,0.0188888888888889,0.685714285714286,0.17,32.3,0.4,NA
2021-07-21 04:45:00,18.6,NA,NA,NA,53.15,0.06,1.8,0.6,52.85,NA,NA
2021-07-21 05:00:00,18.8,NA,NA,65.53,53.15,0.0908333333333333,1.58333333333333,0.908333333333333,42.73,0.4,NA
2021-07-21 05:15:00,18.9,NA,NA,NA,NA,0.108888888888889,1.98333333333333,1.05,39.95,NA,NA
2021-07-21 05:30:00,18.96,NA,NA,NA,NA,0.0983333333333333,2.14,1.02307692307692,53.65,NA,NA
2021-07-21 05:45:00,19.15,NA,NA,NA,53.1444444444444,0.0422222222222222,0.857142857142857,0.422222222222222,33.7375,0.4,NA
2021-07-21 06:00:00,19.3,NA,NA,65.53,53.1571428571429,0.05875,1.2,0.5625,38.1,NA,NA
2021-07-21 06:15:00,19.35,NA,NA,NA,53.15,0.01,0.6,0.1,41.175,0.4,NA
2021-07-21 06:30:00,19.45,NA,NA,NA,53.15,0.055,1.2,0.55,44.3333333333333,0.8,NA
2021-07-21 06:45:00,NA,NA,NA,NA,53.14,0.0488888888888889,1.3375,0.488888888888889,40.425,6.77692307692308,NA
2021-07-21 07:00:00,19.5,NA,NA,0.045,92.8272727272727,0.119285714285714,2.37272727272727,1.14,135.64,19.0357142857143,NA
2021-07-21 07:15:00,19.65,NA,NA,NA,264.142857142857,0.095,2.1,0.863636363636364,238.866666666667,25.8222222222222,NA
2021-07-21 07:30:00,20.0428571428571,NA,NA,NA,262.866666666667,0.136875,2.8,1.31875,244.835714285714,46.9625,NA
2021-07-21 07:45:00,20.85,NA,NA,NA,252.513333333333,0.33,5.6,3.00714285714286,252.866666666667,128.914285714286,NA
2021-07-21 08:00:00,21.95,NA,NA,0.23,250.364285714286,0.395714285714286,6.33636363636364,3.67142857142857,253.7,209.66,NA
2021-07-21 08:15:00,22.9,14.3,4670.58571428571,NA,234.366666666667,0.404666666666667,7.59166666666667,3.70666666666667,218.64375,280.36,NA
2021-07-21 08:30:00,23.6,43.3333333333333,8.94285714285714,NA,268.353333333333,0.503846153846154,7.64615384615385,4.73571428571429,268.213333333333,318.08,NA
2021-07-21 08:45:00,23.96,60.51,15.5727272727273,NA,312.842857142857,0.5575,8.975,5.16666666666667,313.166666666667,366.466666666667,NA
2021-07-21 09:00:00,24.3166666666667,61.5285714285714,16.47,0.34,310.313333333333,0.540714285714286,8.575,4.975,311.206666666667,413.36,NA
2021-07-21 09:15:00,24.7,59.8454545454545,16.3444444444444,NA,307.953333333333,0.58625,9.07333333333333,5.5,283.9,467.146666666667,NA
2021-07-21 09:30:00,25.1166666666667,58.35,16.3692307692308,NA,309.786666666667,0.554285714285714,8.91538461538462,5.36666666666667,308.133333333333,509.4,NA
2021-07-21 09:45:00,25.3833333333333,56.07,16.07,NA,294.16,0.616666666666667,9.89285714285714,5.46666666666667,294.086666666667,547.52,NA
2021-07-21 10:00:00,25.975,54.0909090909091,16.0928571428571,0.45,301.26,0.460666666666667,8.27857142857143,4.34285714285714,302.9,588.414285714286,NA
2021-07-21 10:15:00,26.6,52.4153846153846,15.9692307692308,NA,252.946666666667,0.456875,7.51428571428571,4.12,222.114285714286,623.973333333333,NA
2021-07-21 10:30:00,27.0454545454545,50.96,16.0333333333333,NA,308.226666666667,0.418571428571429,6.99166666666667,4.06,311.90625,656.576923076923,NA
2021-07-21 10:45:00,27.48,47.76875,15.3846153846154,NA,289.426666666667,0.46,7.75714285714286,4.3,248.086666666667,688.46,NA
2021-07-21 11:00:00,27.84,44.9866666666667,14.96875,0.53,294.478571428571,0.359285714285714,6.5,3.64,297.546666666667,712.573333333333,NA
2021-07-21 11:15:00,27.9888888888889,42.0571428571429,13.8714285714286,NA,289.173333333333,0.452,7.575,4.33333333333333,289.72,733.406666666667,NA
2021-07-21 11:30:00,28.0454545454545,42.2,13.9692307692308,NA,272.026666666667,0.464,7.75714285714286,4.38666666666667,270.106666666667,749.06,NA
2021-07-21 11:45:00,28.0583333333333,41.9666666666667,13.95625,NA,280.873333333333,0.470666666666667,8.83076923076923,4.52857142857143,268.35,758.7,NA
2021-07-21 12:00:00,28.4833333333333,42.8083333333333,14.5428571428571,0.55,276.573333333333,0.418571428571429,7.00714285714286,3.73333333333333,245.146666666667,763.91875,NA
2021-07-21 12:15:00,28.2727272727273,44.4714285714286,15.0214285714286,NA,248.906666666667,0.504,7.44,4.59375,249.4375,766.52,NA
2021-07-21 12:30:00,28.22,44.6076923076923,15.0583333333333,NA,253.386666666667,0.453571428571429,8.09230769230769,4.1625,251.3625,765.308333333333,NA
2021-07-21 12:45:00,28.1333333333333,44.3153846153846,14.8,NA,251.3,0.494615384615385,8.54615384615385,4.63076923076923,251.98,759.835714285714,NA
2021-07-21 13:00:00,28.1333333333333,46.7142857142857,15.6133333333333,0.52,234.457142857143,0.525333333333333,9.575,5.03333333333333,234.713333333333,748.333333333333,NA
2021-07-21 13:15:00,28.325,45.7846153846154,15.5538461538462,NA,242.3,0.41375,7.29166666666667,3.50625,242.80625,733.275,NA
2021-07-21 13:30:00,27.9153846153846,44.6833333333333,14.7416666666667,NA,235.242857142857,0.602,10.3785714285714,5.26,239.713333333333,715.62,NA
2021-07-21 13:45:00,28.025,46.3142857142857,15.3666666666667,NA,261.706666666667,0.466666666666667,8.26666666666667,4.16,264.6,692.528571428571,NA
2021-07-21 14:00:00,28.16,47.0692307692308,15.72,0.44,251.486666666667,0.452666666666667,7.73846153846154,4.3,248.046666666667,661.866666666667,NA
2021-07-21 14:15:00,28.2636363636364,48.0416666666667,16.225,NA,227.370588235294,0.482857142857143,7.80666666666667,4.27333333333333,225.593333333333,633.646666666667,NA
2021-07-21 14:30:00,27.6111111111111,48.7615384615385,15.9785714285714,NA,254.121428571429,0.6175,10.9666666666667,5.68666666666667,258.933333333333,598.25625,NA
2021-07-21 14:45:00,27.4181818181818,49.3785714285714,15.8928571428571,NA,239.6,0.578,9.7,4.93076923076923,240.08,555.857142857143,NA
2021-07-21 15:00:00,27.1583333333333,49.3461538461538,15.7181818181818,0.32,250.6,0.585333333333333,9.23636363636364,5.2,249.206666666667,517.5875,NA
2021-07-21 15:15:00,27.1909090909091,48.725,15.425,NA,248.213333333333,0.554285714285714,8.56666666666667,4.55333333333333,248.706666666667,474.7,NA
2021-07-21 15:30:00,27.1571428571429,49.35,15.6181818181818,NA,251.62,0.53,9.64615384615385,4.37333333333333,255.653333333333,430.45,NA
2021-07-21 15:45:00,27.1777777777778,48.8533333333333,15.4714285714286,NA,256.56,0.536428571428571,9.09230769230769,4.68571428571429,256.773333333333,382.5375,NA
2021-07-21 16:00:00,27.2428571428571,47.8928571428571,15.3083333333333,0.17,272.773333333333,0.441428571428571,7,3.88666666666667,274.193333333333,330.586666666667,NA
2021-07-21 16:15:00,27.3416666666667,47.2636363636364,15.14,NA,270.606666666667,0.396923076923077,7.35384615384615,4.01538461538462,272.393333333333,279.92,NA
2021-07-21 16:30:00,26.8111111111111,46.1307692307692,14.2818181818182,NA,292.6,0.55125,9.06666666666667,5.30666666666667,293.121428571429,225.526666666667,NA
2021-07-21 16:45:00,26.7083333333333,46.48125,14.2571428571429,NA,302.4,0.366,6.2,3.58235294117647,279.907142857143,149.54,NA
2021-07-21 17:00:00,25.74,47.5076923076923,13.8545454545455,0.01,266.13125,0.241333333333333,5.075,2.34,269.38125,19.67,NA
2021-07-21 17:15:00,24.01,52.2166666666667,13.3666666666667,NA,252.966666666667,0.25125,4.39090909090909,2.15333333333333,240.76,14.8272727272727,NA
2021-07-21 17:30:00,22.3307692307692,60.06,14.05,NA,74.8,0.224166666666667,3.07,2.15,65.23,10.9,NA
2021-07-21 17:45:00,20.9625,63.0357142857143,13.5857142857143,NA,NA,0.0875,1.76666666666667,0.8625,54.4166666666667,5.48,NA
2021-07-21 18:00:00,19.96,61.975,12.4461538461538,65.53,81.5,0.0858333333333333,1.2,0.858333333333333,54.6444444444444,1.41428571428571,NA
2021-07-21 18:15:00,18.98,56.4416666666667,10.1166666666667,NA,81.6,0.12125,1.78333333333333,1.2125,49.06,NA,NA
2021-07-21 18:30:00,18.3,49.075,7.6,NA,NA,0.01,1.2,0.1,82.9,0.4,NA
2021-07-21 18:45:00,17.8,40.01875,4.20625,NA,81.7,0.0757142857142857,1.88333333333333,0.773333333333333,64.3142857142857,NA,NA
2021-07-21 19:00:00,17.4,33.3642857142857,1.36428571428571,65.53,81.6428571428571,0.0955555555555556,1.85714285714286,0.955555555555555,63.7333333333333,NA,NA
2021-07-21 19:15:00,17.05,28.8923076923077,5040.33076923077,NA,81.6538461538461,0.07,1.625,0.7,58.5714285714286,0.4,NA
2021-07-21 19:30:00,16.7333333333333,23.0071428571429,6549.4,NA,81.65,0.04375,1.2,0.4375,61.7625,NA,NA
2021-07-21 19:45:00,16.45,16.3416666666667,6544.63076923077,NA,81.6454545454545,0.0716666666666667,1.58333333333333,0.716666666666667,54.5166666666667,0.4,NA
2021-07-21 20:00:00,16.25,8.90714285714286,6536.93846153846,65.52,81.6545454545455,0.04,1.2,0.4,27.3,NA,NA
2021-07-21 20:15:00,15.95,471.371428571429,6060.37857142857,NA,81.65,0.08,3.5,0.8,81.8,0.8,NA
2021-07-21 20:30:00,15.7,NA,NA,NA,81.6461538461539,0.045,0.514285714285714,0.45,45.9333333333333,0,NA
2021-07-21 20:45:00,15.45,NA,NA,NA,81.6545454545455,0.0666666666666667,1.44,0.666666666666667,70.4714285714286,NA,NA
2021-07-21 21:00:00,15.34,NA,NA,65.53,81.6454545454545,0.02,0.6,0.166666666666667,55,0.4,NA
2021-07-21 21:15:00,15.2,NA,NA,NA,81.65,0.0891666666666667,1.78333333333333,0.963636363636364,73.95,NA,NA
2021-07-21 21:30:00,15.05,NA,NA,NA,81.68,0.0757142857142857,1.6375,0.757142857142857,68.3333333333333,0.266666666666667,NA
2021-07-21 21:45:00,14.9428571428571,NA,NA,NA,81.65,0.0333333333333333,1,0.316666666666667,54.6166666666667,NA,NA
2021-07-21 22:00:00,14.8333333333333,NA,NA,65.53,81.65,0.086,1.2,0.88,65.26,NA,NA
2021-07-21 22:15:00,14.7,NA,NA,NA,81.6428571428571,0.00333333333333333,0.6,0.0333333333333333,27.6333333333333,0.4,NA
2021-07-21 22:30:00,14.65,NA,NA,NA,81.65,0.005,0.6,0.05,41.45,NA,NA
2021-07-21 22:45:00,14.95,NA,NA,NA,81.6555555555556,0.03,1.2,0.3,61.425,0.4,NA
2021-07-21 23:00:00,15.25,NA,NA,65.52,81.65,NA,NA,NA,NA,NA,NA
2021-07-21 23:15:00,15.35,NA,NA,NA,81.6428571428571,NA,NA,NA,NA,NA,NA
2021-07-21 23:30:00,15.15,NA,NA,NA,81.65,NA,NA,NA,NA,0.4,NA
2021-07-21 23:45:00,14.9,NA,NA,NA,81.6571428571429,0.01,1.2,0.1,83.1,NA,NA
2021-07-22,14.65,NA,NA,NA,81.6714285714286,0.00333333333333333,0.4,0.0333333333333333,27.6333333333333,0.266666666666667,NA
2021-07-22 00:15:00,14.4333333333333,NA,NA,NA,81.65,0.055,1.2,0.55,54.8666666666667,NA,NA
2021-07-22 00:30:00,14.3,NA,NA,NA,81.6444444444444,0.00333333333333333,0.4,0.0333333333333333,27.6333333333333,0.4,NA
2021-07-22 00:45:00,14.05,NA,NA,NA,81.6545454545455,NA,NA,NA,NA,NA,NA
2021-07-22 01:00:00,13.9333333333333,NA,NA,NA,81.6454545454545,0.0133333333333333,0.6,0.133333333333333,54.5,NA,NA
2021-07-22 01:15:00,13.8,NA,NA,NA,81.65,NA,NA,NA,NA,0.4,NA
2021-07-22 01:30:00,13.7,NA,NA,NA,81.6555555555556,0.005,0.6,0.05,41.45,NA,NA
2021-07-22 01:45:00,13.6333333333333,NA,NA,NA,81.65,NA,NA,NA,NA,0.4,NA
2021-07-22 02:00:00,13.55,NA,NA,NA,81.6454545454545,0.06,1.8,0.6,82.1,NA,NA
2021-07-22 02:15:00,13.45,NA,NA,NA,81.6555555555556,0.005,0.6,0.05,41.45,NA,NA
2021-07-22 02:30:00,13.3428571428571,NA,NA,NA,81.65,0.00333333333333333,0.4,0.0333333333333333,27.6333333333333,0.4,NA
2021-07-22 02:45:00,NA,NA,NA,NA,81.6454545454545,NA,NA,NA,NA,NA,NA
2021-07-22 03:00:00,13.2,NA,NA,65.53,81.65,NA,NA,NA,NA,0.4,NA
2021-07-22 03:15:00,13.1,NA,NA,NA,81.6636363636364,0.005,0.6,0.05,41.45,NA,NA
2021-07-22 03:30:00,12.9,NA,NA,NA,81.6461538461539,NA,NA,NA,NA,0.8,NA
2021-07-22 03:45:00,NA,NA,NA,NA,81.6538461538461,0.005,0.6,0.05,41.45,0,NA
2021-07-22 04:00:00,12.75,NA,NA,65.52,81.65,0.005,0.6,0.05,41.45,NA,NA
2021-07-22 04:15:00,12.75,NA,NA,NA,81.65,NA,NA,NA,NA,0.4,NA
2021-07-22 04:30:00,12.65,NA,NA,NA,81.65,0.005,0.6,0.05,41.45,NA,NA
2021-07-22 04:45:00,NA,NA,NA,NA,81.6454545454545,NA,NA,NA,NA,0.4,NA
2021-07-22 05:00:00,12.6428571428571,NA,NA,NA,81.6545454545455,NA,NA,NA,NA,NA,NA
2021-07-22 05:15:00,NA,NA,NA,NA,81.65,0.005,0.6,0.05,41.45,NA,NA
2021-07-22 05:30:00,12.6,NA,NA,NA,81.65,0.005,0.6,0.05,41.45,0.4,NA
2021-07-22 05:45:00,12.48,NA,NA,NA,81.6444444444444,NA,NA,NA,NA,NA,NA
2021-07-22 06:00:00,12.55,NA,NA,NA,81.6545454545455,0.005,0.6,0.05,41.45,0.4,NA
2021-07-22 06:15:00,12.55,NA,NA,NA,81.6461538461539,0.005,0.6,0.05,41.45,NA,NA
2021-07-22 06:30:00,12.5,NA,NA,NA,81.6571428571429,0.0075,0.6,0.075,41.2,0.533333333333333,NA
2021-07-22 06:45:00,12.6,NA,NA,NA,81.6555555555556,0.0957142857142857,2.02857142857143,0.971428571428571,68.15,6.58461538461538,NA
2021-07-22 07:00:00,12.75,NA,NA,0.02,81.65,0.0316666666666667,1,0.316666666666667,55.0666666666667,15.275,NA
2021-07-22 07:15:00,12.95,NA,NA,NA,81.6625,0.06,1.2,0.6,61.35,21.7153846153846,NA
2021-07-22 07:30:00,13.35,NA,NA,NA,81.65,NA,NA,NA,NA,46.3454545454545,NA
2021-07-22 07:45:00,14.3583333333333,NA,NA,NA,81.7,NA,NA,NA,NA,132.69375,NA
2021-07-22 08:00:00,15.75,NA,NA,0.04,81.6857142857143,NA,NA,NA,NA,215.413333333333,NA
2021-07-22 08:15:00,17.5571428571429,NA,NA,NA,81.6625,NA,NA,NA,NA,263.58,NA
2021-07-22 08:30:00,19.5857142857143,12,6542.76,NA,81.65,0.0366666666666667,0.6,0.366666666666667,54.2666666666667,313.073333333333,NA
2021-07-22 08:45:00,21.4357142857143,49.8,10.0642857142857,NA,NA,0.02,0.6,0.2,58.7857142857143,371.926666666667,NA
2021-07-22 09:00:00,22.67,61.1076923076923,14.6375,0.15,109.325,0.201818181818182,3.33333333333333,2.01818181818182,109.275,422.221428571429,NA
2021-07-22 09:15:00,23.3555555555556,60.6571428571429,15.375,NA,136.316666666667,0.226666666666667,3.71666666666667,2.28888888888889,133.7375,472.093333333333,NA
2021-07-22 09:30:00,24.6571428571429,59.2692307692308,16.2333333333333,NA,161.36,0.130714285714286,1.775,1.18461538461538,149.446666666667,523.885714285714,NA
2021-07-22 09:45:00,25.48,52.26,15.2,NA,305.426666666667,0.368666666666667,6.32857142857143,3.52,314.328571428571,565.738461538461,NA
2021-07-22 10:00:00,25.83,50.6714285714286,14.8,0.39,239.6125,0.338461538461538,5.90769230769231,3.4375,254.06,602.36,NA
2021-07-22 10:15:00,25.87,50.8066666666667,14.8571428571429,NA,247.06,0.418125,7.33571428571429,3.88571428571429,225.633333333333,638.566666666667,NA
2021-07-22 10:30:00,26.01,50,14.9285714285714,NA,213.7,0.402666666666667,6.3,3.80666666666667,207.186666666667,670.861538461538,NA
2021-07-22 10:45:00,26.6666666666667,49.0285714285714,15.0230769230769,NA,239.3875,0.356666666666667,6.63846153846154,3.26666666666667,237.966666666667,697.821428571429,NA
2021-07-22 11:00:00,27.29,48.0571428571429,15.2571428571429,0.53,292.978571428571,0.249333333333333,4.91666666666667,2.43125,276.8,723.96,NA
2021-07-22 11:15:00,27.18,47.6,15.0714285714286,NA,266.22,0.5,7.74,4.65714285714286,266.726666666667,745.371428571429,NA
2021-07-22 11:30:00,27.05,48.1461538461538,15.1384615384615,NA,241.953333333333,0.449333333333333,7.30909090909091,4.15,243.14,761.673333333333,NA
2021-07-22 11:45:00,27.3,46.5,14.8333333333333,NA,236,0.501333333333333,8.36153846153846,4.59333333333333,238.133333333333,775.686666666667,NA
2021-07-22 12:00:00,27.21,47.3,15,0.55,223.08,0.485333333333333,8.36923076923077,4.50666666666667,224.706666666667,781.385714285714,NA
2021-07-22 12:15:00,27.1666666666667,48.1642857142857,15.2071428571429,NA,229.58,0.533571428571429,8.81111111111111,5.02857142857143,231.833333333333,782.62,NA
2021-07-22 12:30:00,27.3230769230769,47.7066666666667,15.3142857142857,NA,239.866666666667,0.482666666666667,7.92307692307692,4.44,233.985714285714,781.169230769231,NA
